4th_of_july,美国独立日
fog,雾气
foliage,枝叶
footprints,脚印
forest,森林
forest_(4423),森林（4423）
frustration_cloud,沮丧云
full_moon,满月
fully/fully_submerged,完全浸没
galaxy,银河
gale_kawaii,强风可爱
gemini_(constellation),双子座（星座）
ginkgo_tree,银杏树
glowing_petals,发光花瓣
gradient_sky,渐变天空
grass,草地
grass_field,草地
grasslands,草原
green_fire,绿色火焰
green_sky,绿色天空
grey_sky,灰色天空
hanami,赏花
hatsunatsu,初夏
heat_(temperature),高温
hedge,树篱
hill,山丘
hole_(pit),坑洞
horizon,地平线
hot,火热
huge_moon,巨型月亮
ice,冰
ice_crystal,冰晶
icicle,冰锥
in_water,水中
inseki,陨石
island,岛屿
kisetsu,季节
lake,湖泊
landscape,风景
lava,熔岩
light_beam,光束
lightning,闪电
living_cloud,活体云
meadow,草地
meteor,流星
meteor_shower,流星雨
milky_way,银河
moon,月亮
moon_phases,月相
moonlight,月光
morning,清晨
moss,苔藓
mount_fuji,富士山
mountain,山峦
mountain_range,山脉
mud,泥泞
muddy,泥泞
multicolored_sky,七彩天空
natu,夏
nature,自然
nebula,星云
new_year,新年
night,夜晚
night_(dream_and_nightmare),黑夜（梦境与噩梦）
night_sky,夜空
nightfaux,夜仿
ocean,海洋
on_crescent,新月之上
on_moon,月上
on_water,水上
orange_sky,橙色天空
overcast,阴天
overgrown,过度生长
palm_tree,棕榈树
paopao,泡泡
petals,花瓣
petals_on_liquid,液面花瓣
pink_fire,粉色火焰
pink_petals,粉色花瓣
pink_sky,粉色天空
planet,行星
planetary_ring,行星环
planted,栽种
pond,池塘
puddle,水洼
purple_fire,紫色火焰
purple_sky,紫色天空
rain,雨
rainbow,彩虹
raining,下雨
rainstorm_(marefurryfan),暴雨（母马兽迷）
red_moon,红月
red_sky,赤色天空
red_sun,红日
reflective_water,反光水面
rice_paddy,稻田
ripples,涟漪
river,河流
riverbank,河岸
romantic_ambiance,浪漫氛围
roots,treeroots
rumbling,地鸣
rust,锈蚀
sand,沙子
sasayuki,细雪
saturn_(planet),土星（行星）
savanna,稀树草原
sea,海洋
season_connection,季节联结
setsubun,节分
shallow_water,浅水
shichigatsu,七月
shooting_star,流星
shoreline,海岸线
shrub,灌木丛
sky,天空
sky_background,天空背景
skyscape,天空景致
slosh,晃荡液体
smoke,烟雾
snow,雪景
snow_on_head,头顶积雪
snowflake,雪花
snowflake_background,雪花背景
snowflakes,雪花
snowgrave,雪葬
snowing,飘雪
space,太空
spacescape,太空景观
sparks,火花
spring,春季
spring_(season),春季（季节）
st._patrick's_day,圣帕特里克节
stage_lights,舞台灯光
star_(sky),星星（天空）
star_trail,星轨
starry_sky,星空
starry_sky_background,星空背景
steam,蒸汽
steaming,蒸汽缭绕
steaming_body,蒸汽缭绕身体
steamy_breath,蒸汽呼吸
stink_fumes,恶臭烟雾
storm,暴风雨
stream,溪流
submerged,水下
submerged_legs,腿部浸没
suichuu_hanabi,水中花火
summer,夏季
sun,太阳
sunbeam,阳光光束
sunflower_field,向日葵花田
sunlight,阳光
sunrise,日出
sunset,日落
suyasuyabi,轻松氛围
swamp,沼泽
tall_grass,高草丛
tanabata,七夕
tatsumaki,龙卷风
tree,树木
tree_shade,树荫
tree_stump,树桩
twister,龙卷风
underwater,水下
vegetation,植被
vent_arbre,风之树
volcano,火山
warm,温暖
water,水
water_drop,水滴
waterfall,瀑布
waterring,水环
wave,波浪
waves,波浪
weather_report,天气预报
wet_floor,湿地
wetland,湿地
wheat_field,麦田
white_clouds,白云
white_sky,白色天空
will-o'-the-wisp,鬼火
will-o'-the-wisp_(mythology),鬼火（神话）
wind,风
wind_lift,风掀
winter,冬季
winter_nacht,冬夜
xiangyun,祥云
year_of_the_dog,狗年
year_of_the_ox,牛年
year_of_the_pig,猪年
year_of_the_rat,鼠年
yellow_moon,黄月
yellow_sky,黄色天空
