abandoned,被遗弃的
stage,舞台
stairs,楼梯
stone_floor,石地板
stone_stairs,石阶
stone_wall,石墙
store,商店
storefront,店铺门面
street,街道
subterranean_animism,地灵殿
summer_festival,夏日祭
swimming_pool,游泳池
tactile_paving,盲道地砖
tatami,榻榻米
temple,寺庙
tenshigarden,天使花园
tf_cafe,TF咖啡厅
the_cabin_in_the_woods_(arania),林中小屋（阿兰尼亚）
thecon,会展
thesecretcave,秘密洞穴
tile,瓷砖
tile_ceiling,瓷砖天花板
tile_floor,瓷砖地板
tile_wall,瓷砖墙
tiles,瓷砖
toilet_stall,厕所隔间
toilet_use,如厕场景
tokyo_(city),东京（城市）
torii,鸟居
tower,塔
town,城镇
train,列车
train_interior,列车内部
train_station,火车站
train_station_platform,火车站站台
transmission_tower,输电塔
under_covers,被子底下
under_kotatsu,在被炉下
under_shade,荫下
under_table,桌下
under_tree,树下
united_states,美国
urban,都市风
vehicle_interior,车辆内饰
vent,通风口
veranda,阳台
village,村庄
wading_pool,涉水池
walk-in,步入式空间
wall_(structure),墙壁（建筑结构）
war,战争
watersports,水上运动
wedding,婚礼
windmill,风车
window,窗户
window_blinds,百叶窗
windowsill,窗台
wizarding_world,魔法世界
wood_floor,木地板
wooden_floor,木地板
wooden_wall,木墙
wrestling_ring,摔角擂台
