accessory,饰品
open_jacket,敞开夹克
open_shirt,敞开衬衫
panties,内裤
pants,长裤
pantyhose,连裤袜
partially_clothed,部分衣着
piercing,穿孔
pink_bow,粉色蝴蝶结
pink_dress,粉色连衣裙
plaid_clothes,格子服饰
plaid_skirt,格子裙
playboy_bunny,花花公子兔女郎
pleated_skirt,百褶裙
polka_dot,波点
puffy_long_sleeves,蓬松长袖
puffy_short_sleeves,蓬松短袖
puffy_sleeves,泡泡袖
rabbit_ears,兔耳
red_bow,红色蝴蝶结
red_bowtie,红色领结
red_clothing,红色服饰
red_dress,红色连衣裙
red_footwear,红色鞋履
red_jacket,红色夹克
red_neckerchief,红色领巾
red_necktie,红色领带
red_ribbon,红色缎带
red_shirt,红色衬衫
red_skirt,红色短裙
revealing_clothes,暴露服装
ribbon,缎带
ribbon_trim,缎带镶边
ribbons,缎带装饰
ring,戒指
ring_piercing,环状穿刺
sailor_collar,水手领
sandals,凉鞋
sash,饰带
scarf,围巾
school_swimsuit,学校泳装
school_uniform,校服
scrunchie,发圈
see-through_clothes,透视装
serafuku,水手服
shirt,衬衫
shoes,鞋子
short_dress,短连衣裙
short_shorts,热裤
short_sleeves,短袖
shorts,短裤
shoulder_armor,肩甲
side-tie_bikini_bottom,侧系比基尼下装
single_thighhigh,单边过膝袜
skimpy,暴露装束
skirt,裙子
sleeveless,无袖
sleeveless_dress,无袖连衣裙
sleeveless_shirt,无袖上衣
sleeves_past_wrists,超腕长袖
sneakers,运动鞋
socks,短袜
star_(symbol),星星（符号）
stockings,长袜
strapless,无肩带
strapless_dress,无肩带连衣裙
strapless_leotard,无肩带紧身衣
striped_clothes,条纹服装
striped_thighhighs,条纹过膝袜
stripes,条纹
suit,西装
sunglasses,太阳镜
suspenders,背带
sweater,毛衣
swimsuit,泳装
swimwear,泳装
t-shirt,T恤
tank_top,背心
tassel,流苏
thigh_boots,大腿靴
thigh_highs,大腿袜
thigh_strap,大腿绑带
thighhighs,大腿袜
tiara,头冠
tight_clothing,紧身衣
topwear,上装
torn_clothes,破损衣物
torn_clothing,破损衣物
turtleneck,高领衫
two-piece_swimsuit,分体泳装
underboob,露下乳
underwear,内衣
underwear_only,仅着内衣
uniform,制服
variant_set,变体套装
veil,头纱
vest,背心
white_apron,白色围裙
white_bikini,白色比基尼
white_bow,白色蝴蝶结
white_clothing,白色服装
white_dress,白色连衣裙
white_footwear,白色鞋类
white_gloves,白色手套
white_hat,白帽
white_jacket,白色夹克
white_panties,白色内裤
white_pantyhose,白色连裤袜
white_ribbon,白色缎带
white_sailor_collar,白色水手领
white_shirt,白衬衫
white_skirt,白裙
white_sleeves,白色袖套
white_socks,白袜
white_thighhighs,白色大腿袜
wide_sleeves,宽袖
wing_collar,翼领
witch_hat,魔女帽
wrist_cuffs,腕箍
wristband,腕带
x_hair_ornament,X形发饰
zettai_ryouiki,绝对领域
